athlete_id,session_id,time_step,heart_rate,fatigue,load,reps,recovery_score,hydration_level,sleep_quality,session_intensity,power_output,injury_risk_score
1,0,0,81.77586603515401,21.612592270665736,31.04400377380729,12,86.21568950279774,88.27376878003817,61.33270638512314,31.592414352135467,225.754940111337,0.0
1,0,1,84.204615350204,22.806948734821955,31.03396742580011,12,82.70108247171528,86.93050736433993,61.33270638512314,31.592414352135467,232.06832985316765,0.0
1,0,2,87.08744256891775,24.420064671437306,33.1616942485815,11,83.56896211205967,87.07895133476032,61.33270638512314,31.592414352135467,223.90940112307743,0.0
1,0,3,81.0318166789985,25.598797238540655,32.084256387061636,11,81.05656288102071,87.6451852087885,61.33270638512314,31.592414352135467,233.54254412269916,0.0
1,0,4,85.91364024936885,26.851523718349007,36.46251704847993,9,81.81375890726659,86.21901204520348,61.33270638512314,31.592414352135467,220.1086001844217,0.0
1,0,5,82.88852607079316,26.91346862658004,35.3432711237901,10,80.74743369808888,86.34796432852967,61.33270638512314,31.592414352135467,214.19612544710964,0.0
1,0,6,85.0445777608241,26.680520484754908,39.9328375207857,8,80.56158364273531,86.40235248303321,61.33270638512314,31.592414352135467,222.1439836741142,0.0
1,0,7,82.3005857182615,28.550542864371526,38.13553496444136,9,79.66577124985501,84.33559630632594,61.33270638512314,31.592414352135467,203.34535972096478,0.0
1,0,8,86.69206911324616,29.462438005592084,37.554455162761954,10,79.7247144319732,85.36900088240475,61.33270638512314,31.592414352135467,217.65070592776434,0.0
1,0,9,83.77849803722981,29.654312415165332,34.384674779159795,9,79.73654078341794,83.73233298472543,61.33270638512314,31.592414352135467,211.82752386498632,0.0
1,0,10,82.2504815943604,30.660588790239434,38.01752580220867,11,78.2832983037427,83.72223587611212,61.33270638512314,31.592414352135467,208.88848008278416,0.0
1,0,11,84.67374148101717,31.668008797466076,33.99367146307346,11,79.61728183574998,82.40384359109136,61.33270638512314,31.592414352135467,229.9534816758314,0.0
1,0,12,88.05242961351429,33.43571549199835,36.6765789440341,8,74.2417349287312,82.73357876644275,61.33270638512314,31.592414352135467,205.7073415552568,0.9286552684082334
1,0,13,90.31719421557423,34.84548703970962,33.2621977262307,10,76.06421858412635,82.15502720664686,61.33270638512314,31.592414352135467,207.2017882467614,0.5474852417358544
1,0,14,91.64647359394459,36.78137575110206,38.4456778660241,10,75.83082753969462,84.07144354781194,61.33270638512314,31.592414352135467,199.41969637026622,2.521274634782273
1,0,15,85.44474991058001,38.46172766651053,35.43560280869766,9,73.76075888819362,80.43839508045586,61.33270638512314,31.592414352135467,189.90493481053673,5.8142737860428335
1,0,16,85.83754164503601,40.402307609739744,41.037190008356454,14,72.1604486072914,85.23705341673222,61.33270638512314,31.592414352135467,239.0284807421617,6.133302538086104
1,0,17,90.23737687371805,42.44567680894528,37.584218195893335,9,72.51359101649442,81.22146939382377,61.33270638512314,31.592414352135467,187.53257710955143,4.188952442758893
1,0,18,89.91337368172285,43.813665858109815,37.67884592097148,10,73.21737776065297,83.16193435381929,61.33270638512314,31.592414352135467,190.5847456284597,6.046647641845971
1,0,19,94.20179122144907,46.07796262478429,37.26957112634329,14,69.00065586751525,79.70475444245416,61.33270638512314,31.592414352135467,229.54158806635067,11.563371255432443
1,0,20,90.1541676176261,46.92640614443928,39.63044141330333,9,68.08677782280046,80.87570509930192,61.33270638512314,31.592414352135467,198.4708535945854,14.346703229124403
1,0,21,92.94319050785747,49.27490444373823,40.540183504189024,10,69.12805628831693,80.33340982504649,61.33270638512314,31.592414352135467,214.4703758047281,13.33949625951507
1,0,22,98.3703800103059,49.53707113516781,44.97495631121576,10,70.71738067205891,78.17105561945883,61.33270638512314,31.592414352135467,204.04098688228206,12.185891878355006
1,0,23,95.57276539065533,51.24908930580886,45.05950088371348,8,66.80444377123003,78.21674603477643,61.33270638512314,31.592414352135467,189.55104838474628,14.985950663163596
